Data,Horário ,Xixi,Cocô,,27.02.23,4
27.02.23,15:50,Cheia,Pouco,,28.02.23,16
27.02.23,17:51,Média ,Pouco,,01.03.23,13
27.02.23,18:55,Cheia,Pouquíssimo ,,02.03.23,14
27.02.23,21:20,Cheia,Médio,,03.03.23,13
28.02.23,0:18,Cheia,Médio ,,04.03.23,14
28.02.23,3:44,Cheia,Médio,,05.03.23,9
28.02.23,5:47,Média ,Médio ,,06.03.23,12
28.02.23,7:20,Cheia,Pouco/Medio,,07.03.23,10
28.02.23,8:25,Na troca,Muito,,08.03.23,12
28.02.23,10:48,Não ,Médio,,09.03.23,11
28.02.23,11:40,Cheia,não ,,10.03.23,18
28.02.23,12:15,Não ,Pouco,,11.03.23,13
28.02.23,14:00,Cheia,Pouco/Médio ,,12.03.23,10
28.02.23,15:15,Não ,Médio ,,13.03.23,13
28.02.23,16:00,Média ,Pouco,,14.03.23,12
28.02.23,17:47,Cheia,Pouco,,15.03.23,9
28.02.23,18:40,Não ,Pouco,,16.03.23,11
28.02.23,20:00,Cheia,Médio ,,17.03.23,9
28.02.23,21:40,Cheia,não ,,18.03.23,12
28.02.23,22:40,Média ,Muito,,19.03.23,12
01.03.23,0:15,Média ,Pouco,,20.03.23,11
01.03.23,2:50,Pouco ,Médio ,,21.03.23,9
01.03.23,4:30,Média ,Pouco ,,22.03.23,10
01.03.23,7:30,Cheia ,Pouquíssimo ,,23.03.23,10
01.03.23,9:24,Cheia,Pouquíssimo ,,24.03.23,11
01.03.23,10:50,Cheia ,Pouco,,25.03.23,13
01.03.23,12:30,Média ,Pouquíssimo ,,26.03.23,8
01.03.23,14:45,Cheia,Pouco ,,27.03.23,12
01.03.23,16:40,Não ,Médio/Muito,,28.03.23,10
01.03.23,16:50,Na troca,Pouco,,29.03.23,10
01.03.23,18:20,Na troca,Pouco,,30.03.23,9
01.03.23,19:45,Cheia,Médio ,,31.03.23,12
01.03.23,21:40,não ,médio ,,01.04.23,8
02.03.23,0:35,Cheia,Médio ,,02.04.23,11
02.03.23,4:50,Cheia,Médio ,,03.04.23,11
02.03.23,7:10,não ,Médio ,,04.04.23,10
02.03.23,9:10,Cheia,Pouco,,05.04.23,9
