Data,Horário começo,horário fim,Peito,Duração (min),,,,,,,
27/2/2023,17:07,17:23,E,0:16:00,,27/2/2023,1.55,23.25,,E,107.3333333
27/2/2023,17:28,17:32,D,0:04:00,,28/2/2023,6.933333333,26,,D,87.3
27/2/2023,17:41,17:51,D,0:10:00,,1/3/2023,5.35,24.69230769,,,
27/2/2023,18:05,18:13,D,0:08:00,,2/3/2023,5.3,22.71428571,,,
27/2/2023,18:25,18:26,E,0:01:00,,3/3/2023,5.866666667,27.07692308,,,
27/2/2023,19:02,19:15,E,0:13:00,,4/3/2023,4.666666667,20,,,
27/2/2023,19:45,19:55,D,0:10:00,,5/3/2023,3.65,24.33333333,,,
27/2/2023,21:28,21:40,E,0:12:00,,6/3/2023,4.3,21.5,,,
27/2/2023,21:46,22:05,D,0:19:00,,7/3/2023,2.983333333,17.9,,,
28/2/2023,0:30,1:10,D,0:40:00,,8/3/2023,4.716666667,23.58333333,,,
28/2/2023,3:58,4:13,E,0:15:00,,9/3/2023,3.616666667,19.72727273,,,
28/2/2023,5:57,6:17,E,0:20:00,,10/3/2023,5.916666667,19.72222222,,,
28/2/2023,7:03,7:17,D,0:14:00,,11/3/2023,4.133333333,19.07692308,,,
28/2/2023,8:34,8:56,E,0:22:00,,12/3/2023,3.716666667,22.3,,,
28/2/2023,11:03,11:34,D,0:31:00,,13/3/2023,3.866666667,17.84615385,,,
28/2/2023,11:50,12:05,E,0:15:00,,14/3/2023,4.733333333,23.66666667,,,
28/2/2023,12:57,13:10,E,0:13:00,,15/3/2023,3.366666667,22.44444444,,,
28/2/2023,14:07,14:42,D,0:35:00,,16/3/2023,4.216666667,23,,,
28/2/2023,16:10,16:39,E,0:29:00,,17/3/2023,4.1,27.33333333,,,
28/2/2023,17:54,18:06,D,0:12:00,,18/3/2023,4.35,21.75,,,
28/2/2023,18:48,19:31,E,0:43:00,,19/3/2023,4.533333333,22.66666667,,,
28/2/2023,20:18,20:46,D,0:28:00,,20/3/2023,4.55,24.81818182,,,
28/2/2023,20:53,21:12,E,0:19:00,,21/3/2023,5.066666667,33.77777778,,,
28/2/2023,21:50,22:04,D,0:14:00,,22/3/2023,5.516666667,33.1,,,
28/2/2023,22:08,22:25,E,0:17:00,,23/3/2023,5.3,31.8,,,
28/2/2023,22:55,23:15,D,0:20:00,,24/3/2023,6.166666667,33.63636364,,,
28/2/2023,23:30,23:59,E,0:29:00,,25/3/2023,6.266666667,28.92307692,,,
1/3/2023,0:32,0:37,D,0:05:00,,26/3/2023,4.866666667,36.5,,,
